act7,DATAKEY35510
act6,DATAKEY31303
act0,DATAKEY13
act2,DATAKEY9430
act1,DATAKEY6939
act4,DATAKEY19722
act0,DATAKEY3548
act9,DATAKEY44314
act5,DATAKEY23705
act4,DATAKEY21822
act1,DATAKEY8607
act6,DATAKEY31752
act4,DATAKEY18485
act6,DATAKEY29607
act7,DATAKEY34858
act6,DATAKEY30555
act2,DATAKEY10374
act4,DATAKEY21098
act0,DATAKEY2719
act8,DATAKEY39096
act4,DATAKEY22091
act1,DATAKEY5805
act8,DATAKEY38174
act4,DATAKEY21709
act0,DATAKEY2360
act1,DATAKEY6395
act4,DATAKEY20537
act0,DATAKEY2363
act6,DATAKEY28350
act8,DATAKEY41134
act8,DATAKEY39633
act4,DATAKEY21899
act7,DATAKEY32221
act0,DATAKEY1306
act6,DATAKEY29136
act4,DATAKEY21184
act8,DATAKEY36739
act9,DATAKEY45052
act1,DATAKEY8156
act6,DATAKEY27926
act1,DATAKEY6300
act9,DATAKEY44936
act0,DATAKEY1105
act2,DATAKEY12618
act9,DATAKEY45106
act0,DATAKEY1936
act3,DATAKEY15307
act5,DATAKEY26407
act9,DATAKEY44223
act5,DATAKEY26486
act5,DATAKEY23592
act0,DATAKEY2289
act6,DATAKEY31668
act9,DATAKEY42124
act3,DATAKEY17869
act7,DATAKEY32957
act1,DATAKEY8361
act8,DATAKEY38478
act9,DATAKEY44339
act5,DATAKEY24701
act2,DATAKEY12718
act0,DATAKEY4466
act4,DATAKEY21460
act1,DATAKEY7170
act2,DATAKEY10676
act0,DATAKEY1320
act8,DATAKEY40273
act9,DATAKEY42742
act4,DATAKEY20196
act3,DATAKEY18222
act9,DATAKEY43871
act2,DATAKEY9527
act6,DATAKEY28051
act9,DATAKEY44842
act3,DATAKEY16167
act2,DATAKEY12420
act2,DATAKEY13379
act0,DATAKEY1123
act6,DATAKEY28116
act0,DATAKEY4086
act5,DATAKEY27292
act2,DATAKEY11081
act0,DATAKEY1578
act9,DATAKEY43434
act4,DATAKEY21321
act9,DATAKEY45408
act5,DATAKEY23356
act5,DATAKEY26186
act6,DATAKEY28578
act0,DATAKEY2424
act9,DATAKEY45333
act1,DATAKEY8984
act8,DATAKEY37826
act2,DATAKEY11898
act7,DATAKEY32715
act4,DATAKEY21083
act2,DATAKEY13491
act4,DATAKEY18557
act0,DATAKEY576
act8,DATAKEY39106
act5,DATAKEY27512
act5,DATAKEY24520
act1,DATAKEY7421
act0,DATAKEY750
act7,DATAKEY32504
act6,DATAKEY28195
act2,DATAKEY12004
act1,DATAKEY4721
act0,DATAKEY1513
act0,DATAKEY3095
act6,DATAKEY29358
act5,DATAKEY26286
act0,DATAKEY771
act2,DATAKEY10132
act8,DATAKEY39606
act0,DATAKEY3800
act0,DATAKEY4485
act2,DATAKEY9449
act1,DATAKEY9103
act5,DATAKEY26719
